income,food,transport,rent,utilities,education,overspend_category
1000,450,100,300,50,50,food
1000,200,350,300,80,40,transport
1200,300,200,500,100,50,rent
900,250,100,350,120,80,utilities
1100,220,120,350,60,200,education
800,380,140,200,40,40,food
950,180,320,300,60,40,transport
1300,260,180,600,120,90,rent
1000,200,100,300,200,100,utilities
1050,180,120,350,60,240,education
1150,400,150,400,80,120,food
980,210,310,280,70,110,transport
1250,320,220,550,90,70,rent
890,240,90,340,130,90,utilities
1120,230,130,360,70,210,education
820,370,130,210,50,60,food
960,190,330,310,65,45,transport
1280,270,190,590,110,80,rent
1010,210,110,310,190,90,utilities
1070,170,130,340,70,260,education
1180,410,160,420,85,105,food
970,220,300,290,75,115,transport
1260,330,210,560,95,75,rent
910,260,95,350,125,85,utilities
1130,240,140,370,65,205,education
830,360,120,220,55,65,food
940,200,340,320,60,50,transport
1290,280,200,610,115,85,rent
1020,220,120,320,180,80,utilities
1080,160,140,350,75,255,education
1160,420,170,430,90,110,food
960,230,310,300,80,120,transport
1240,340,230,570,100,80,rent
900,270,100,360,135,95,utilities
1140,250,150,380,70,220,education